festival_name,category,detailed_category,prohibited_behaviors
제20회 대한민국향토식문화대전(&남북음식문화축제),전통문화형,전통 시장 관광객 팁,"셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,궁궐 애완동물 반입,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,박물관 아이들 소음,전시물 만지기,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
2023영호남전통시장박람회,전통문화형,전통 시장 관광객 팁,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,전시물 만지기,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
대한민국 한옥문화 비엔날레 IN 영암,전통문화형,한옥마을 주민 사생활,"""한복 무단 촬영"",""국보급 문화재 촬영"",""삼각대 금지 박물관"",""셀카봉 주의"",""유튜브 촬영 금지"",""상업용 촬영 허가"",""드론 촬영 허가 문화재"",""공연 중 촬영 금지"",""문화 해설 중 녹음"",""박물관 큰 가방"",""문화재 자전거 킥보드"",""인화성 물질 반입"",""전시장 내부 물"",""공연장 냄새나는 음식"",""박물관 휴대폰 통화"",""공연 중 대화"",""한옥마을 밤 소음"",""박물관 아이들 소음"",""전시물 만지기"",""문화재 기대기"",""문화재 낙서 처벌"",""한옥 대문 열어보기"",""한옥 문고리 파손"",""전시관 동선 역주행"",""출입금지 구역 침입"",""관람 제한 구역"",""박물관 포토라인"",""한옥마을 사유지 침입"",""공사장 위험 구역"",""관광지 무단 투기"",""한옥마을 쓰레기 처리"",""축제장 분리수거"",""길거리 음식 쓰레기"",""전통 찻집 외부 음식"",""공연자 만지기"",""문화 해설사 방해"",""안내 요원 지시 불이행"""
도산서원 야간개장 밤의 서정(抒情),전통문화형,향교 서원 예절,"제사(제례) 사진 촬영,한복 무단 촬영,국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,한복 훼손,궁궐 애완동물 반입,박물관 큰 가방,문화재 자전거 킥보드,궁궐 돗자리,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,궁궐 음주,박물관 휴대폰 통화,사찰 법당 휴대폰 벨소리,공연 중 대화,한옥마을 밤 소음,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,한옥 대문 열어보기,한옥 문고리 파손,궁궐 꽃 꺾기,사찰 흡연 구역,제례 중 이동,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,한옥마을 사유지 침입,관광지 무단 투기,한옥마을 쓰레기 처리,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
아시아송 페스티벌 X 문화잇지오,전통문화형,기타 전통문화,"셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,박물관 큰 가방,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,출입금지 구역 침입,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
아시아컬처마켓  도시 속 문화장터,전통문화형,전통 시장 관광객 팁,"""한복 무단 촬영"",""셀카봉 주의"",""상업용 촬영 허가"",""공연 중 촬영 금지"",""인화성 물질 반입"",""공연장 냄새나는 음식"",""공연 중 대화"",""전시물 만지기"",""출입금지 구역 침입"",""관람 제한 구역"",""관광지 무단 투기"",""축제장 분리수거"",""길거리 음식 쓰레기"",""공연자 만지기"",""안내 요원 지시 불이행"""
울산문화박람회,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,궁궐 애완동물 반입,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,궁궐 음주,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,궁궐 꽃 꺾기,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
제12회 경기정원문화박람회,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,궁궐 애완동물 반입,문화재 자전거 킥보드,궁궐 돗자리,인화성 물질 반입,공연장 냄새나는 음식,궁궐 음주,공연 중 대화,전시물 만지기,문화재 기대기,문화재 낙서 처벌,궁궐 꽃 꺾기,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
진주 세계민속예술 비엔날레,전통문화형,국악 공연 관람 예절,"셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,공연 중 대화,전시물 만지기,전시관 동선 역주행,출입금지 구역 침입,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
2024년 청년문화포럼 3회차,전통문화형,기타 전통문화,"셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,문화 해설 중 녹음,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,출입금지 구역 침입,관람 제한 구역,축제장 분리수거,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
