FestivalName,ConditionName,ConditionDesc,camera_angle
119메모리얼데이,고요한 추모의 빛,"전통 등불의 빛을 최소화하여 인물 조형물 주변의 조명과 달빛이 주를 이루도록 연출합니다. 그림자를 깊게 드리워 차분하고 경건한 분위기를 극대화하며, 전통 건축물의 실루엣이 더욱 웅장하게 느껴지도록 강조합니다.",ground-level
119메모리얼데이,역사 속 경건한 발자취,"전통 건축물의 웅장함과 세부 장식에 초점을 맞춰, 공간 전체를 아우르는 시야를 제공합니다. 등불은 길을 안내하는 역할에 충실하되, 건축물 자체가 주는 고풍스러운 분위기를 조명의 강조로 더욱 부각시켜 장엄하고 압도적인 경관을 연출합니다.",aerial
119메모리얼데이,시민과 함께하는 밤,"축제를 방문한 시민과 가족들의 모습을 더욱 생동감 있게 담아내되, 존경심을 잃지 않는 선에서 다양한 활동(조용히 걷기, 조형물 앞에서 사색, 아이들과 함께 등불 보기 등)을 추가합니다. 인물들의 따뜻한 실루엣이 등불 빛과 어우러져 더욱 인간적이고 포근한 추모의 밤을 표현합니다.",ground-level
1883 상상플랫폼 야시장,정겨운 골목 야시장,"오래된 골목을 배경으로 꼬마전구 불빛이 길게 드리워져 아늑하고 정감 있는 분위기를 강조합니다. 상점들은 간판 불빛으로 소박하게 빛나고, 사람들은 서로 담소를 나누며 여유롭게 거니는 모습이 부각됩니다.",ground-level
1883 상상플랫폼 야시장,활기찬 광장 축제,"도시 광장을 배경으로 수많은 상점들의 화려한 조명과 다양한 색상의 꼬마전구들이 밤하늘을 수놓습니다. 북적이는 인파 속에서 활기 넘치게 먹거리를 즐기고, 공연을 관람하며 축제의 열기가 고조되는 모습을 역동적으로 표현합니다.",aerial
1883 상상플랫폼 야시장,강변의 운치 있는 밤,"강변을 따라 은은하게 흐르는 조명과 강물에 비치는 빛들이 어우러져 낭만적이고 차분한 분위기를 연출합니다. 잔잔한 강바람과 함께 꼬마전구의 따뜻한 빛이 어둠을 밝히고, 사람들이 여유롭게 강변의 정취를 만끽하는 모습을 그립니다.",ground-level
1901 라이브로드 페스타,도심 속 네온 리듬,"고층 빌딩 숲을 배경으로 도시의 네온사인과 축제의 화려한 무대 조명이 어우러져 더욱 강렬하고 현대적인 분위기를 연출합니다. 도심 속 활기찬 에너지가 극대화되며, 빛과 그림자의 대비가 돋보입니다.",aerial
1901 라이브로드 페스타,별빛 아래 스펙트럼 폭발,"탁 트인 자연 속 밤하늘 아래, 수많은 별빛이 은은하게 빛나는 가운데 무대에서 뿜어져 나오는 다채로운 레이저와 스포트라이트가 밤하늘을 수놓아 환상적이고 웅장한 광경을 만들어냅니다. 자연의 고요함과 음악의 열정이 조화를 이룹니다.",aerial
1901 라이브로드 페스타,군중 속 빛의 파도,"무대 조명과 함께 열정적인 관객들이 흔드는 야광봉, 스마트폰 플래시 등이 어우러져 빛의 물결을 이루는 역동적인 장면을 연출합니다. 음악의 리듬에 맞춰 빛이 출렁이며 관객과 무대가 하나 되는 열정적이고 몰입감 넘치는 분위기를 강조합니다.",aerial
19금 신비파티 in 서초,네온 누아르 미스터리,"다채로운 네온사인과 간판 조명이 드리운 어두운 밤거리. 짙은 그림자와 강렬한 하이라이트가 대비를 이루며 비밀스럽고 고혹적인 분위기를 연출한다. 상권의 번잡한 활기보다는 어딘가 고독하고 성숙한 느낌으로, 미스터리한 복장을 한 인물들이 배경에 녹아들 듯 존재감을 드러내는 야경을 표현한다.",ground-level
