Title,DetailType,PlayTime,StartHour,EndHour,DayNightType,PlayTimeSummary,condition1,condition2
가락몰 빵축제 전국빵지자랑,음식/요리 축제,11:00~18:00,11,18,낮 중심,"운영시간 11:00~18:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
가락옥토버페스트 캠핑축제,맥주/와인 축제,12:00~20:00,12,20,낮 중심,"운영시간 12:00~20:00 (총 8시간, 낮 6h, 밤 2h) → 낮과 밤 모두 운영",가을,"낮,밤"
가야문화축제,역사 재현,10:00~21:00,10,21,낮 중심,"운영시간 10:00~21:00 (총 11시간, 낮 8h, 밤 3h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
가파도청보리축제,농산물 축제,10:00~16:00,10,16,낮 중심,"운영시간 10:00~16:00 (총 6시간, 낮 6h, 밤 0h) → 낮 중심",봄,낮
가평 양떼목장 수국축제,꽃 축제,10:00 ~ 19:00,10,19,낮 중심,"운영시간 10:00~19:00 (총 9시간, 낮 8h, 밤 1h) → 낮 중심",여름,"낮,밤"
가평 양떼목장 유채꽃축제,꽃 축제,10:00 ~ 19:00,10,19,낮 중심,"운영시간 10:00~19:00 (총 9시간, 낮 8h, 밤 1h) → 낮 중심","봄,목장","낮,밤"
가평군 반려동물 문화행사 활짝펫,커뮤니티 행사,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
감악산 꽃별 여행,꽃 축제,09:00~18:00,9,18,낮 중심,"운영시간 9:00~18:00 (총 9시간, 낮 9h, 밤 0h) → 낮 중심",봄,낮
감악산 해맞이 행사,일출/일몰 축제,06:00~,,,정보 없음,정보 부족,"겨울,산","밤,낮"
강남역 케미스트릿 페스티벌,지역 상권,10월 2일 15:00 ~ 23:00 / 10월 3일 11:00 ~ 22:00,15,23,밤 중심,"운영시간 15:00~23:00 (총 8시간, 낮 3h, 밤 5h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
강남청년축제,커뮤니티 행사,17:00~21:00,17,21,밤 중심,"운영시간 17:00~21:00 (총 4시간, 낮 1h, 밤 3h) → 밤 중심",가을,"낮,밤"
강동선사문화축제,역사 재현,10:00~22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
강릉 국가유산 야행,문화재 야행,18:00~23:00,18,23,밤 중심,"운영시간 18:00~23:00 (총 5시간, 낮 0h, 밤 5h) → 밤 중심","봄,가을",밤
강릉단오제,전통 의례/행사,10:00~22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영",여름,"낮,밤"
강릉비치비어페스티벌,맥주/와인 축제,13:00~22:00,13,22,낮·밤 혼합,"운영시간 13:00~22:00 (총 9시간, 낮 5h, 밤 4h) → 낮과 밤 모두 운영","여름,해변","낮,밤"
강릉시 반려동물문화축제,커뮤니티 행사,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
강릉커피축제,커피/차 축제,10:00~21:00,10,21,낮 중심,"운영시간 10:00~21:00 (총 11시간, 낮 8h, 밤 3h) → 낮과 밤 모두 운영",가을,"낮,밤"
강릉페스티벌,무용/퍼포먼스,2024. 11. 1.(금) 14:00 ~ 21:30 / 2024. 11. 2.(토) ~ 11. 3.(일) 12:00 ~ 21:30,14,21,낮·밤 혼합,"운영시간 14:00~21:00 (총 7시간, 낮 4h, 밤 3h) → 낮과 밤 모두 운영","여름,가을","낮,밤"
강릉해양레저 펫가족 힐링페스티벌,낚시/해양,10:00~17:00(8일 10:00~15:00),10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","여름,해양",낮
강북 공예문화축제,디자인/공예,14:00~20:00,14,20,낮 중심,"운영시간 14:00~20:00 (총 6시간, 낮 4h, 밤 2h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
강북구 어린이날 대축제,시민 참여,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,화창한 날",낮
강북청소년축제 강추,시민 참여,10:00~19:00,10,19,낮 중심,"운영시간 10:00~19:00 (총 9시간, 낮 8h, 밤 1h) → 낮 중심","봄,가을","낮,밤"
강서 아이들 까치까치 페스티벌,시민 참여,12:40~17:00,12,17,낮 중심,"운영시간 12:00~17:00 (총 5시간, 낮 5h, 밤 0h) → 낮 중심","봄,가을",낮
강서구 다문화축제,커뮤니티 행사,11:00~16:00,11,16,낮 중심,"운영시간 11:00~16:00 (총 5시간, 낮 5h, 밤 0h) → 낮 중심","봄,가을",낮
강서봄빛페스타,불꽃/빛 축제,15:00 ~ 21:00,15,21,낮·밤 혼합,"운영시간 15:00~21:00 (총 6시간, 낮 3h, 밤 3h) → 낮과 밤 모두 운영",봄,"낮,밤"
강서어린이 동화축제,문학/책 축제,10:00~16:00,10,16,낮 중심,"운영시간 10:00~16:00 (총 6시간, 낮 6h, 밤 0h) → 낮 중심","봄,가을",낮
강원n 홍천 산나물축제,임산물 축제,09:00 ~ 18:00,9,18,낮 중심,"운영시간 9:00~18:00 (총 9시간, 낮 9h, 밤 0h) → 낮 중심","봄, 산",낮
강원관광두레 팝업스토어,야시장/플리마켓,11:30~19:30 (2/4~2/12),11,19,낮 중심,"운영시간 11:00~19:00 (총 8시간, 낮 7h, 밤 1h) → 낮 중심","봄, 가을","낮, 밤"
강원로컬페스타,야시장/플리마켓,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
강원한우데이,농산물 축제,10:00~18:00,10,18,낮 중심,"운영시간 10:00~18:00 (총 8시간, 낮 8h, 밤 0h) → 낮 중심","봄, 가을",낮
강정마을 생태축제,생태 체험,"금: 13:00~22:00, 토:09:00~22:00, 일: 09:00~12:00",13,22,낮·밤 혼합,"운영시간 13:00~22:00 (총 9시간, 낮 5h, 밤 4h) → 낮과 밤 모두 운영","자연, 야외","낮,밤"
강주해바라기 축제,꽃 축제,09:00~18:00,9,18,낮 중심,"운영시간 9:00~18:00 (총 9시간, 낮 9h, 밤 0h) → 낮 중심",여름,낮
강진 전라병영성축제,역사 재현,10:00~20:00(체험: 10:00 ~ 18:00),10,20,낮 중심,"운영시간 10:00~20:00 (총 10시간, 낮 8h, 밤 2h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
강진수국길축제,꽃 축제,10:00~18:00,10,18,낮 중심,"운영시간 10:00~18:00 (총 8시간, 낮 8h, 밤 0h) → 낮 중심","여름,꽃",낮
강천섬 힐링 문화축제,시민 참여,12:00~21:00,12,21,낮 중심,"운영시간 12:00~21:00 (총 9시간, 낮 6h, 밤 3h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
강콘페스타,미디어 아트,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
강화 길상 빙어 축제,빙어/얼음낚시,"(평일) 10:00~17:00 / (주말,공휴일) 08:00~18:00",10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심",겨울,낮
강화 별밤 야행,문화재 야행,18:00~22:00,18,22,밤 중심,"운영시간 18:00~22:00 (총 4시간, 낮 0h, 밤 4h) → 밤 중심","여름,가을",밤
강화 양오 빙어축제,빙어/얼음낚시,08:30~17:00,8,17,낮 중심,"운영시간 8:00~17:00 (총 9시간, 낮 9h, 밤 0h) → 낮 중심",겨울,낮
강화도왕방마을얼음축제,빙어/얼음낚시,주말: 1부 08:30~12:502부 13:00~16:50야간 17:00~20:00,8,12,낮 중심,"운영시간 8:00~12:00 (총 4시간, 낮 4h, 밤 0h) → 낮 중심",겨울,낮
개관 17주년 기념 ESG 사회공헌 행사,생태 체험,14:00~19:30,14,19,낮 중심,"운영시간 14:00~19:00 (총 5시간, 낮 4h, 밤 1h) → 낮 중심","봄, 가을","낮,밤"
개발협력주간,커뮤니티 행사,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
거문도백도 은빛바다체험행사,낚시/해양,10:00~22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영","여름, 바다","낮,밤"
거제 옥포대첩 축제,역사 재현,6.13.(금) 19:30~21:30/ 6.14.(토)~6.15.(일) 09:30~22:00,19,21,밤 중심,"운영시간 19:00~21:00 (총 2시간, 낮 0h, 밤 3h) → 밤 중심","여름, 바다",밤
거제대구수산물축제,수산물 축제,09:00 ~ 17:00,9,17,낮 중심,"운영시간 9:00~17:00 (총 8시간, 낮 8h, 밤 0h) → 낮 중심",겨울,낮
거제도 국제펭귄수영축제,낚시/해양,09:30 ~ 16:00,9,16,낮 중심,"운영시간 9:00~16:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심",겨울,낮
거제섬꽃축제,꽃 축제,10:00~20:00,10,20,낮 중심,"운영시간 10:00~20:00 (총 10시간, 낮 8h, 밤 2h) → 낮과 밤 모두 운영","가을,해안","낮,밤"
거제여름해양축제,낚시/해양,10:00~21:00,10,21,낮 중심,"운영시간 10:00~21:00 (총 11시간, 낮 8h, 밤 3h) → 낮과 밤 모두 운영",여름,"낮,밤"
거창국제연극제,연극/뮤지컬,공연 및 부대행사별 상이 *홈페이지 참고,,,정보 없음,정보 부족,여름,"낮,밤"
건군 76주년 국군의 날,거리 퍼레이드,nan,,,정보 없음,정보 부족,가을,낮
